purchase_amount,customer_rating,social_media_platform,engagement_score_mean,purchase_interest_score_mean,review_sentiment_score_mean,social_profile_rows,purchase_month,purchase_day_of_week,is_weekend_purchase,high_value_purchase,purchase_day_of_year,product_category
373,2.8,TikTok,50.0,3.6,1.0,1.0,4,3,0,1,109,Clothing
228,3.8,Facebook,79.5,3.35,0.5,2.0,1,1,0,0,9,Electronics
101,4.2,Twitter,71.0,4.8,1.0,1.0,3,1,0,0,79,Books
374,1.2,Facebook,77.5,2.95,-1.0,2.0,4,5,1,1,118,Electronics
162,5.0,Facebook,70.5,4.1,-1.0,2.0,3,6,1,0,84,Electronics
178,3.0,Facebook,82.5,3.6,-0.5,4.0,5,1,0,0,149,Sports
145,3.9,LinkedIn,84.5,3.35,0.5,2.0,1,0,0,0,15,Sports
436,4.2,Instagram,61.5,3.75,0.0,2.0,3,5,1,1,83,Sports
247,4.6,Unknown,75.0,3.3,0.0,1.0,4,1,0,0,121,Sports
273,3.0,Unknown,75.0,3.3,0.0,1.0,4,4,0,0,96,Clothing
77,3.0,Unknown,75.0,3.3,0.0,1.0,2,3,0,0,39,Groceries
130,2.4,LinkedIn,89.0,4.0,-1.0,1.0,3,3,0,0,88,Electronics
429,4.3,TikTok,79.0,2.8,1.0,1.0,1,0,0,1,8,Clothing
332,3.3,TikTok,50.0,3.6,1.0,1.0,2,3,0,1,53,Groceries
466,3.0,Facebook,79.0,3.05,0.0,2.0,5,2,0,1,143,Books
147,2.8,Unknown,75.0,3.3,0.0,1.0,4,0,0,0,120,Groceries
78,2.0,Unknown,75.0,3.3,0.0,1.0,1,1,0,0,23,Groceries
220,2.7,TikTok,96.0,3.2,0.0,1.0,1,0,0,0,22,Groceries
437,3.6,Facebook,88.0,4.15,1.0,2.0,1,1,0,1,16,Books
426,4.8,Facebook,58.0,3.1500000000000004,0.0,2.0,2,2,0,1,52,Groceries
267,2.3,LinkedIn,86.0,3.1,-1.0,1.0,4,5,1,0,104,Groceries
465,3.3,Twitter,70.0,1.3,1.0,1.0,4,1,0,1,107,Clothing
274,1.1,Facebook,67.5,4.300000000000001,1.0,2.0,3,1,0,1,65,Books
395,1.1,Facebook,87.5,2.5,1.0,2.0,1,5,1,1,6,Groceries
221,1.3,LinkedIn,71.0,1.35,1.0,2.0,3,4,0,0,68,Groceries
473,4.1,Facebook,75.0,3.4,-0.5,2.0,5,3,0,1,144,Sports
64,1.3,Instagram,72.66666666666667,2.5,0.3333333333333333,3.0,1,4,0,0,5,Clothing
219,1.4,LinkedIn,94.5,3.35,-0.5,2.0,2,4,0,0,33,Groceries
51,2.7,Unknown,75.0,3.3,0.0,1.0,3,6,1,0,91,Electronics
177,3.2,LinkedIn,71.0,1.35,1.0,2.0,5,4,0,0,145,Groceries
434,3.3,LinkedIn,78.0,3.9,0.0,1.0,2,1,0,1,51,Sports
145,2.1,Twitter,68.0,1.0,0.0,1.0,3,2,0,0,73,Books
115,2.9,Instagram,75.66666666666667,2.9,0.0,3.0,2,3,0,0,32,Electronics
102,4.6,TikTok,50.0,3.6,1.0,1.0,4,3,0,0,102,Electronics
94,3.0,Facebook,92.0,2.1,1.0,1.0,2,5,1,0,34,Electronics
175,2.6,Unknown,75.0,3.3,0.0,1.0,4,1,0,0,100,Clothing
380,4.4,LinkedIn,51.0,4.8,0.0,1.0,2,2,0,1,45,Electronics
256,2.8,Unknown,75.0,3.3,0.0,1.0,1,3,0,0,4,Clothing
333,3.8,Twitter,82.0,4.8,0.0,1.0,1,2,0,1,31,Groceries
280,4.0,Twitter,54.0,4.5,0.0,1.0,1,4,0,1,19,Electronics
456,4.8,Instagram,85.66666666666667,2.733333333333334,-0.6666666666666666,3.0,1,3,0,1,18,Groceries
162,4.4,Facebook,87.0,4.8,-1.0,1.0,3,5,1,0,90,Clothing
489,4.1,Facebook,74.0,1.85,0.5,2.0,3,2,0,1,87,Books
490,1.7,Twitter,50.0,3.0,-1.0,1.0,2,0,0,1,36,Clothing
290,2.0,Unknown,75.0,3.3,0.0,1.0,1,5,1,1,13,Clothing
101,3.2,LinkedIn,51.0,4.8,0.0,1.0,1,6,1,0,14,Electronics
177,3.6,Facebook,76.5,3.3,0.0,2.0,2,3,0,0,46,Books
421,3.2,Facebook,67.5,4.300000000000001,1.0,2.0,4,6,1,1,119,Sports
308,4.3,LinkedIn,63.0,3.3,1.0,1.0,5,4,0,1,131,Sports
308,4.8,Facebook,88.0,4.15,1.0,2.0,2,1,0,1,58,Clothing
495,3.0,TikTok,96.0,3.2,0.0,1.0,2,1,0,1,44,Sports
150,2.7,Unknown,75.0,3.3,0.0,1.0,3,0,0,0,85,Sports
387,4.6,Instagram,77.0,4.4,-0.5,2.0,5,6,1,1,147,Books
304,4.2,Instagram,85.66666666666667,2.733333333333334,-0.6666666666666666,3.0,4,2,0,1,115,Sports
450,4.2,Facebook,67.5,4.300000000000001,1.0,2.0,4,1,0,1,114,Electronics
357,2.5,Unknown,75.0,3.3,0.0,1.0,5,1,0,1,142,Sports
389,3.0,Facebook,76.5,3.3,0.0,2.0,2,6,1,1,42,Sports
401,1.7,Instagram,85.66666666666667,2.733333333333334,-0.6666666666666666,3.0,1,3,0,1,11,Sports
186,1.8,Unknown,75.0,3.3,0.0,1.0,3,5,1,0,62,Electronics
